Dataset	Diff_id_3	Liv_tass	Method	match	Diff_id_2e3	failure	Dist_median_medianL	N_hap_meanL
Aphthona	21.43	3	GMYC	13	78.57	2	11.68278469	1.745715531
Apteropeda	0	3	GMYC	0	0	2	11.99285591	2.251291799
Calomicrus	0	3	GMYC	3	40	3	12.16084356	2.740840024
Cassida	9.52	3	GMYC	18	57.14	4	12.70606824	1.54329811
Chaetocnema	33.33	3	GMYC	16	88.89	2	12.17670357	1.526056303
Chrysolina	11.11	3	GMYC	15	59.26	12	13.14485748	2.055404964
Chrysomela	0	3	GMYC	6	33.33	1	12.81818898	1.190887565
Clytra	0	3	GMYC	2	25	2	12.41481337	1.386294361
Crepidodera	0	3	GMYC	6	28.57	1	11.96474285	2.708050201
Crioceris	0	3	GMYC	3	0	0	13.10756786	2.119863456
Cryptocephalus	12.9	3	GMYC	50	60.21	43	12.25541504	1.740466175
Dibolia	0	3	GMYC	5	50	1	12.02773514	1.427916036
Donacia	0	3	GMYC	11	81.82	0	13.87243989	0.896088025
Epitrix	0	3	GMYC	0	50	2	13.83292013	1.791759469
Exosoma	0	3	GMYC	2	0	0	11.68702918	3.701301974
Galeruca	0	3	GMYC	3	12.5	5	10.84405208	1.609437912
Galerucella	20	3	GMYC	0	100	5	13.95693026	2.174751721
Gastrophysa	0	3	GMYC	2	0	1	13.1658494	2.079441542
Gonioctena	16.67	3	GMYC	10	33.34	2	12.34106541	2.813610697
Hydrothassa	0	3	GMYC	2	25	2	10.4565735	1.386294361
Labidostomis	0	3	GMYC	8	60	4	11.84794164	1.678963975
Lachnaia	0	3	GMYC	1	100	7	11.90840151	2.924773185
Lochmaea	0	3	GMYC	1	50	3	11.45903818	2.140066163
Longitarsus	28.57	3	GMYC	35	93.88	14	12.16938325	1.903598951
Luperus	0	3	GMYC	5	77.78	5	12.16144916	2.054123734
Mantura	0	3	GMYC	3	75	1	11.67534869	2.505525937
Neocrepidodera	0	3	GMYC	3	100	8	12.53223802	1.713797928
Orsodacne	0	3	GMYC	2	0	1	12.71251036	1.673351238
Oulema	60	3	GMYC	0	80	5	12.9077833	1.735189118
Pachybrachis	0	3	GMYC	4	83.33	8	10.70234204	1.945910149
Phaedon	0	3	GMYC	4	25	0	12.29995362	1.386294361
Phratora	0	3	GMYC	4	50	2	13.25957912	1.541159072
Phyllotreta	5.26	3	GMYC	17	89.47	2	13.38148439	1.413423029
Plateumaris	0	3	GMYC	4	100	2	12.5059498	1.735189118
Podagrica	0	3	GMYC	1	33.33	2	12.42385867	2.079441542
Psylliodes	7.41	3	GMYC	17	96.3	13	11.6233186	2.083184528
Smaragdina	0	3	GMYC	7	50	2	13.08843486	2.397895273
Stylosomus	0	3	GMYC	1	0	2	12.02088699	2.512035317
Timarcha	0	3	GMYC	3	100	1	12.64928077	0.916290732
Tituboea	0	3	GMYC	1	0	0	14.33747373	0.693147181
Agelastica	0	3	GMYC	0	0	1	14.20059811	1.609437912
Altica	91.67	3	GMYC	0	100	12	12.20824628	2.03077637
Arima	0	3	GMYC	0	0	1	11.87736022	1.386294361
Arrhenocoela	0	3	GMYC	0	0	1	14.12327463	1.386294361
Batophila	0	3	GMYC	0	100	2	13.39779421	1.704748092
Bromius	0	3	GMYC	0	0	1	13.22242118	1.609437912
Chilotomina	0	3	GMYC	0	100	1	12.16084356	0.693147181
Chrysochus	0	3	GMYC	0	0	1	12.75090339	0.693147181
Colaspidea	0	3	GMYC	0	0	2	11.4846732	2.014903021
Colaspidema	0	3	GMYC	0	0	1	11.4846732	2.772588722
Coptocephala	0	3	GMYC	0	100	3	12.57459572	0.845868268
Derocrepis	0	3	GMYC	0	100	2	12.13541464	1.871802177
Diabrotica	0	3	GMYC	0	0	1	12.23391736	0.693147181
Dicladispa	0	3	GMYC	0	0	1	12.58657475	1.098612289
Entomoscelis	0	3	GMYC	0	50	2	12.21045055	1.386294361
Hermaeophaga	0	3	GMYC	0	100	2	11.83144828	0.916290732
Hippuriphila	0	3	GMYC	0	0	1	13.13028651	1.386294361
Hispa	0	3	GMYC	0	0	1	13.36742215	3.17805383
Hypocassida	0	3	GMYC	0	100	3	13.12303275	1.300191662
Lema	0	3	GMYC	0	0	1	13.19874629	0.693147181
Leptinotarsa	0	3	GMYC	0	0	1	12.88051039	0.693147181
Leptomona	0	3	GMYC	0	0	1	11.94096713	2.397895273
Lilioceris	0	3	GMYC	0	33.33	3	14.23946174	1.541159072
Lythraria	0	3	GMYC	0	0	1	13.28437882	1.945910149
Macrolenes	0	3	GMYC	0	0	1	12.43684026	0.693147181
Macroplea	0	3	GMYC	0	0	2	0	0.405465108
Neophaedon	0	3	GMYC	0	0	2	0	0.405465108
Nimphius	0	3	GMYC	0	0	2	0	0.405465108
Oedionychus	0	3	GMYC	0	0	2	11.33540684	2.079441542
Oreina	0	3	GMYC	0	100	8	11.85658112	1.504077397
Orestia	0	3	GMYC	0	0	1	12.71840963	1.945910149
Pachnephorus	0	3	GMYC	0	0	2	0	0.405465108
Phyllobrotica	0	3	GMYC	0	0	1	13.6760349	1.791759469
Plagiodera	0	3	GMYC	0	0	1	12.01597876	2.564949357
Plagiosterna	0	3	GMYC	0	0	1	13.97420689	2.079441542
Prasocuris	0	3	GMYC	0	50	2	12.37832451	1.704748092
Pyrrhalta	0	3	GMYC	0	0	1	14.23795011	1.609437912
Sermylassa	0	3	GMYC	0	0	1	13.77447604	1.098612289
Sphaeroderma	0	3	GMYC	0	100	2	13.60934346	1.945910149
Syneta	0	3	GMYC	0	0	1	12.60973313	0.693147181
Zeugophora	0	3	GMYC	0	0	1	12.2840984	1.386294361
